   493782.000       164.000000       204.750580    
   572059.000       43.0000000       214.585266    
   608827.000       98.0000000       219.204773    
   626932.000       101.000000       221.479477    
   642200.000       100.000000       223.397736    
   754844.000       197.000000       237.550262    
   783600.000       134.000000       241.163147    
   902195.000       229.000000       256.063354    
   1048319.00       83.0000000       274.422302    
   1211537.00       142.000000       294.928925    
   1235786.00       171.000000       297.975555    
   1274923.00       194.000000       302.892700    
   1293953.00       260.000000       305.283630    
   1711263.00       254.000000       357.714203    
   1808344.00       411.000000       369.911407    
   1819046.00       521.000000       371.255981    
   1998257.00       395.000000       393.771973    
   2233169.00       296.000000       423.286194    
   2673400.00       704.000000       478.596558    
   2688418.00       461.000000       480.483398    
   2844658.00       900.000000       500.113312    
   2926324.00       390.000000       510.373779    
   3405565.00       291.000000       570.585327    
   3421399.00       456.000000       572.574707    
   3450654.00       774.000000       576.250305    
   4012012.00       1046.00000       646.778992    
   4041769.00       964.000000       650.517700    
   4301261.00       665.000000       683.120056    
   4447100.00       1154.00000       701.443237    
   4468976.00       904.000000       704.191711    
   4919479.00       567.000000       760.792664    
   5130632.00       1150.00000       787.321777    
   5296486.00       643.000000       808.159607    
   5363675.00       792.000000       816.601196    
   5595211.00       1130.00000       845.691223    
   5689283.00       1288.00000       857.510376    
   5894121.00       563.000000       883.246094    
   6080485.00       947.000000       906.660767    
   6349097.00       476.000000       940.409058    
   7078515.00       925.000000       1032.05273    
   8049313.00       1557.00000       1154.02319    
   8186453.00       1634.00000       1171.25342    
   8414350.00       731.000000       1199.88623    
   9938444.00       1159.00000       1391.37256    
   11353140.0       1286.00000       1569.11426    
   12281054.0       1490.00000       1685.69678    
   12419293.0       1356.00000       1703.06494    
   15982378.0       3244.00000       2150.72900    
   18976456.0       1493.00000       2526.90332    
   20851820.0       3583.00000       2762.52295    
   33871648.0       4120.00000       4398.32666    
